00001Test                            0.00                                      0.00                                      0.00                  A11.00                 0.00                  0.00                  
000034390                            0.00                                      0.00                                      0.00                  I0.00                  11.00                 0.00                  
00080Repack Charge                   0.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
00086Freight - Full Load             0.00                                      0.00                                      0.00                  A198.00                0.00                  0.00                  
04315Potato Chef 50#               LB50.00                                     0.00                  1                   0.00                  A5.11                  8.50                  0.00                  
04320Potato Wht East 20#           LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04322Potato White 10# 200 Ct       ea0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04323Potato Wht 10# Marco          EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04325Potato Fla Wht 50#            LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04330Potato White 50#              LB50.00                                     0.00                  1                   0.00                  A5.50                  8.50                  0.00                  
04333Potato Salt 10/5              LB10.00                    0                0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04350Potato Red A 50#              LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04352Potato Red C 50#              EA50.00                                     0.00                  1                   0.00                  A42.35                 0.00                  0.00                  
04353Potato Purple A Size          LB50.00                                     0.00                  1                   0.00                  A50.60                 0.00                  0.00                  
04355Potato Red A 50#              LB50.00                                     0.00                  1                   0.00                  A14.02                 18.00                 0.00                  
04358Potato Chef Red 50#           LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04360Potato Red B 50#              LB50.00                                     0.00                  1                   0.00                  A14.85                 19.00                 0.00                  
04363Potato Wht Fla #2             LB50.00                                     0.00                                      1.00                  I0.00                  0.00                  0.00                  
04365Potato Red -> 10/5#           EA10.00                                     0.00                  1                   0.00                  A15.12                 18.00                 0.00                  
04370Potato Red B 10#              EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04375Potato Dole Red 10/5#         LB10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04380Potato White B                EA50.00                                     0.00                  1                   0.00                  A5.94                  14.00                 0.00                  
04385Potato White C                EA50.00                                     0.00                  1                   0.00                  A47.85                 0.00                  0.00                  
04390Potato White A Cal 50#        LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04391Potato Cal Baker 50#          LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04393Potato Yukon Gold Chef        LB50.00                                     0.00                  1                   0.00                  A8.41                  13.00                 0.00                  
04395Potato Yukon Gold 10/5#       EA10.00                                     0.00                  1                   0.00                  A11.00                 15.50                 0.00                  
04396Apple Chip Cinnamon           EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04400Potato A-Wht East 10/5        EA10.00                                     0.00                  5                   0.00                  I16.50                 0.00                  0.00                  
04407Potato White 10#              LB1.00                                      0.00                  10                  0.00                  A1.18                  1.60                  0.00                  
04410Potato Cull 20#               LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04411Potato 10# Farm Fresh         EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04412Potato Cull 50#               LB50.00                                     0.00                  1                   0.00                  A3.68                  6.00                  0.00                  
04415Potato White -> 10/5#         EA10.00                                     0.00                  1                   0.00                  A9.35                  13.50                 0.00                  
04420Potato Dole White 10/5#       EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04425Potato Wht East 10/5#         EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04430Potato White 5/10#            EA5.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04435Potato Russet 100/10#         EA0.00                                      0.00                  1                   0.00                  A113.30                0.00                  0.00                  
04440Potato Wht-A Fla 10/5         EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04441Potato Wht Cal->10/5          EA10.00                                     0.00                  5                   0.00                  I0.00                  0.00                  0.00                  
04445Potato Wht-B New 10/5#        EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04450Potato Red B 16/3             EA16.00                                     0.00                  3                   0.00                  I0.00                  0.00                  0.00                  
04455Potato Wht Cal 10# Single     LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04465Potato Grn Giant Red 10/5#    LB10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04500Chestnut *aa*                 LB54.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04502Chestnut 25# Aaa              LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04505Chestnut 48/50 - 25#          LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04508Chestnut 80/85                LB54.00                                     0.00                  1                   0.00                  I60.50                 0.00                  0.00                  
04510Potato Russet Baker 12 Oz     LB50.00                                     0.00                  1                   0.00                  A6.60                  11.00                 0.00                  
04512Potato Idaho Baker            LB50.00                                     2.00                                      2.00                  A11.05                 0.00                  0.00                  
04515Potato Idaho 080 Ct           LB50.00                                     0.00                  1                   0.00                  A11.14                 15.00                 0.00                  
04520Potato Idaho 090 Ct           LB50.00                                     0.00                  1                   0.00                  A10.17                 13.50                 0.00                  
04525Potato Idaho 100 Ct           LB50.00                                     0.00                  1                   0.00                  A8.69                  12.50                 0.00                  
04530Potato Idaho 120 Ct           LB50.00                                     0.00                  1                   0.00                  A9.07                  12.00                 0.00                  
04531Potato Idaho 110 Ct           LB50.00                                     0.00                  1                   0.00                  A6.05                  0.00                  0.00                  
04540Potato Idaho->10/5            EA10.00                                     0.00                  5                   0.00                  A9.76                  13.00                 0.00                  
04545Potato Russet Cull            EA50.00                                     0.00                  1                   0.00                  A2.36                  6.50                  0.00                  
04550Potato Idaho Chef 50 #        LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04555Potato Idaho 5# Bins          EA80.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04590Opal Basil                    LB1.00                                      0.00                                      0.00                  A10.08                 0.00                  0.00                  
04600Potato Russ Baker 12 Oz       LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04605Potato Russet 060             LB50.00                                     0.00                  1                   0.00                  A7.70                  11.50                 0.00                  
04608Potato Russet 050             LB50.00                                     0.00                  1                   0.00                  A13.20                 0.00                  0.00                  
04610Potato Russet 070             LB50.00                                     0.00                  1                   0.00                  A7.83                  11.50                 0.00                  
04615Potato Russet 080             LB50.00                                     0.00                  1                   0.00                  A7.42                  11.50                 0.00                  
04620Potato Russet 090             LB50.00                                     0.00                  1                   0.00                  A7.00                  11.00                 0.00                  
04625Potato Russet 100             LB50.00                                     0.00                  1                   0.00                  A6.73                  10.50                 0.00                  
04630Potato Russet 120             LB50.00                                     0.00                  1                   0.00                  A6.60                  10.50                 0.00                  
04635Potato Russet 4/15#           EA4.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04640Potato Russet -> 10/5#        EA10.00                                     0.00                  5                   0.00                  A6.71                  10.50                 0.00                  
04645Potato Russ Single 10#        EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04695Potato 1#                     LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04700Potato Diced 30#              LB30.00                                     0.00                  20                  0.00                  A16.22                 0.00                  0.00                  
04705Potato Peeled 30#             LB1.00                                      0.00                  30                  0.00                  A15.67                 0.00                  0.00                  
04710Potato Sliced 30#             LB30.00                                     0.00                  1                   0.00                  A11.34                 0.00                  0.00                  
04715Potato Idaho 5/10#            LB5.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04717Salt Potatoes                 LB10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04720Potato Idaho 070 Ct           LB50.00                                     0.00                  1                   0.00                  A12.24                 15.50                 0.00                  
04725Potato Idaho 060 Ct           LB50.00                                     0.00                  1                   0.00                  A11.96                 15.50                 0.00                  
04730Potato Idaho 050 Ct           LB50.00                                     0.00                  1                   0.00                  A12.65                 0.00                  0.00                  
04735Potato Idaho 040 Ct           LB50.00                                     0.00                  1                   0.00                  A15.40                 0.00                  0.00                  
04740Potato Salt 10/5#             EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04800Shallots 6/5 Oz               EA6.00                                      0.00                  1                   0.00                  A8.25                  9.00                  0.00                  
04815Potato Sweet Wht              LB20.00                                     0.00                  1                   0.00                  A12.10                 0.00                  0.00                  
04817Beans Green 10/12 Oz          EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04830Potato Sweet Red              LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04835Sweet Potato Wht #1 Hf          0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04850Yams Large 40#                LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04860Yams #1 50 Lb Medium          LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04900Boniatos/Batata               LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04901Taro Root                     LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04902Cachucha Pepper               LB15.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04903Water Coconut                 EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04905Calabaza                      LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04906Squash Choyote 24 Ct          EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04907Pepper Habanero 10#           LB10.00                                     0.00                  1                   0.00                  A30.19                 32.00                 0.00                  
04908Dasheen                       LB45.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04910Eddos                         LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04911Pepper Anaheim                LB10.00                                     0.00                  1                   0.00                  A7.97                  0.00                  0.00                  
04912Malanga Coco                  LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04913Pepper Poblano                LB10.00                                     0.00                  1                   0.00                  A14.30                 0.00                  0.00                  
04915Name Yam                      LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04916Yautia                        LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
04918Yuca                          LB25.00                                     0.00                  1                   0.00                  A15.40                 23.00                 0.00                  
04925Potato Fingerling             LB50.00                                     0.00                  1                   0.00                  A138.60                0.00                  0.00                  
05000Apple Red Del 12/3 West       EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05005Apple Rd Fwlr 012/3           EA12.00                                     0.00                  3                   0.00                  I0.00                  0.00                  0.00                  
05015Apple Paula Red 12/3#         EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05020Apple Gold 12/3 East          EA12.00                                     0.00                  1                   0.00                  A12.65                 0.00                  0.00                  
05035Apple Paula Red 120 Ct        EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05040Apple Paula Red 100 Ct        EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05054Apple Rome Fwlr 12/3          EA12.00                                     0.00                  3                   0.00                  I0.00                  0.00                  0.00                  
05060Apple Gala 100                EA42.00                                     0.00                  1                   0.00                  A19.25                 24.00                 0.00                  
05062Apple Fuji 100                LB42.00                                     0.00                  1                   0.00                  A29.70                 0.00                  0.00                  
05063Apple Gala 088                LB42.00                                     0.00                  1                   0.00                  A21.45                 26.50                 0.00                  
05065Apple Mac 12/3 Beak & Skif    EA12.00                                     0.00                  3                   0.00                  A13.20                 15.50                 0.00                  
05070Apple Mac 12/3                EA12.00                                     0.00                  3                   0.00                  I0.00                  0.00                  0.00                  
05075Apple Empire 8/5              EA8.00                                      0.00                  5                   0.00                  I0.00                  0.00                  0.00                  
05080Apple Mac 8/5                 EA8.00                                      0.00                  5                   0.00                  A11.00                 14.00                 0.00                  
05090Apple Cort Bulk               LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05095Apples Empire Bulk            LB40.00                                     0.00                  1                   0.00                  A7.70                  0.00                  0.00                  
05100Apple Red Del 12/3            EA12.00                                     0.00                  3                   0.00                  A10.45                 14.50                 0.00                  
05105Apple Red Del 8/5#            EA8.00                                      0.00                  5                   0.00                  A11.00                 14.00                 0.00                  
05106Apple Rd Del 04/10 West       EA4.00                                      0.00                  10                  0.00                  I0.00                  0.00                  0.00                  
05110Apple Gld 12/3                EA12.00                                     0.00                  3                   0.00                  I0.00                  0.00                  0.00                  
05115Apple Gold Del East 8/5       EA8.00                                      0.00                  1                   0.75                  I0.00                  0.00                  0.00                  
05120Apple Red Del East 8/5        EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05123Apple Gala 12/3#              EA12.00                                     0.00                  1                   0.00                  A17.05                 0.00                  0.00                  
05130Apple Mac 12/3                EA12.00                                     0.00                  3                   0.00                  A9.35                  13.50                 0.00                  
05140Apple Empire 80 Ct            EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05230Apple Spy Bulk                LB36.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05235Apple Red Del 150 Ct          EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05262Apple Fuji 12/4               EA12.00                                     0.00                  1                   0.00                  A13.20                 0.00                  0.00                  
05310Apple Gld Wa X-F 080          LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05415Apple Stayman 12/3            EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05520Onion & Potato Modular          0.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
05522Lettuce Modular                 35.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
05533Vegetable Modular -B-           0.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
05550Apple Empire 12/3             EA12.00                                     0.00                  1                   0.00                  A9.35                  13.50                 0.00                  
05555Vegetable Module                0.00                                      0.00                                      0.00                  A0.00                  0.00                  0.00                  
05605Apple Rome 72/80 Ct           EA42.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05635Apple Rome 88 Ct              EA40.00                                     0.00                  1                   0.00                  A15.95                 20.00                 0.00                  
05640Apple Rome West 056 Ct        EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05655Apple Rome 12/3#              LB12.00                                     0.00                  1                   0.00                  A9.35                  13.50                 0.00                  
05658Apple Rome 8/5                EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05700Apple Mac 088/100 Fwlr        EA42.00                                     0.00                  1                   0.00                  I20.35                 0.00                  0.00                  
05705Apple Mac 120 Ct              LB40.00                                     0.00                  1                   0.00                  A6.87                  11.50                 0.00                  
05710Apple Mac Fwlr 100            LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05717Apple Red Del 6/6 Ct          EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05720Apple Mac 100 Tray            LB40.00                                     0.00                  1                   0.00                  A18.70                 22.00                 0.00                  
05722Apple Bulk Mac                LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05755Mixed Fruit 5/5#              EA5.00                                      0.00                  1                   0.00                  A15.34                 0.00                  0.00                  
05760Apple Red Del West 113        LB40.00                                     0.00                  1                   0.00                  A15.95                 0.00                  0.00                  
05761Apple Braeburn 100 Ct         LB40.00                                     0.00                  1                   0.00                  A25.85                 0.00                  0.00                  
05762Apple Red Del 10 Ct           EA10.00                                     0.00                  1                   0.00                  A2.69                  4.00                  0.00                  
05763Apple Red Del 12 Ct           EA12.00                                     0.00                  1                   0.00                  A3.13                  0.00                  0.00                  
05765Apple Red Wa X-F 072          LB42.00                                     0.00                  1                   0.00                  A19.52                 20.50                 0.00                  
05766Apple Braeburn 88/90          LB40.00                                     0.00                  1                   0.00                  A14.85                 0.00                  0.00                  
05770Apple Red Del 138             LB42.00                                     0.00                  1                   0.00                  A9.35                  0.00                  0.00                  
05772Apple Red Wa X-F 088          LB42.00                                     0.00                  1                   0.00                  A19.52                 22.50                 0.00                  
05774Apple Red Wa X-F 100          EA42.00                                     0.00                  1                   0.00                  A17.05                 22.50                 0.00                  
05778Apple Red Del East 100        EA0.00                                      0.00                  EA                  0.00                  I0.00                  0.00                  0.00                  
05780Apple 1#                      EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05782Apples Sliced                 LB30.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05785Apple Red Del East 113        EA42.00                                     0.00                  1                   0.00                  A9.35                  13.50                 0.00                  
05790Apple Red Del West 125        ea25.00                                     0.00                  1                   0.00                  A16.77                 0.00                  0.00                  
05795Apple Red Del 125 Ct          LB42.00                                     0.00                  1                   0.00                  A9.35                  14.50                 0.00                  
05817Apple Gold Del 6/6 Ct         EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05850Apple Gld Wa X-F 072          LB40.00                                     0.00                  1                   0.00                  A23.65                 0.00                  0.00                  
05852Apple Red Wa X-F 064          LB40.00                                     0.00                  1                   0.00                  A19.80                 0.00                  0.00                  
05855Apple Gld Wa X-F 088          LB42.00                                     0.00                  1                   0.00                  A21.45                 25.00                 0.00                  
05860Apple Gld Wa X-F 100          LB42.00                                     0.00                  1                   0.00                  A17.27                 22.00                 0.00                  
05862Apple Gold Del 10 Ct          EA10.00                                     0.00                  1                   0.00                  A2.36                  4.00                  0.00                  
05865Apple Gld East Xf             EA42.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05870Apple Gld Del 125             LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05871Apple Gold Del 80 Cell        LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05872Apple Gld West Cell 96        EA40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05873Apple Gld Wa Xf 064           LB42.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05875Apple Gld Wa Xf 125           EA42.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05900Apple Gr Smith 072            LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05903Apple Gr Smith 12/3           LB12.00                                     0.00                  1                   0.00                  A16.50                 19.50                 0.00                  
05905Apple Gr Smith 56             LB42.00                                     0.00                  1                   0.00                  A23.37                 0.00                  0.00                  
05910Apple Granny Smith 100        LB42.00                                     0.00                  1                   0.00                  A17.05                 21.00                 0.00                  
05911Apple Granny Smith 10 Ct      ea10.00                                     0.00                  1                   0.00                  A2.42                  0.00                  0.00                  
05912Apple Granny Smith 088        LB42.00                                     0.00                  1                   0.00                  A16.77                 21.00                 0.00                  
05915Apple Ida Red 88/100          LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05916Apple Gr Smith 64 Ct          LB42.00                                     0.00                  1                   0.00                  A22.00                 26.50                 0.00                  
05917Apple Gr Smith 6/6 Ct         EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
05940Apple Gr Smith Bin 60/10#     EA60.00                                     0.00                  10                  0.00                  I0.00                  0.00                  0.00                  
05950Apple Gr Smith 113            EA42.00                                     0.00                  1                   0.00                  A13.20                 0.00                  0.00                  
05955Apple Ida Red 12/3            EA12.00                                     0.00                  3                   0.00                  I0.00                  0.00                  0.00                  
05960Apple Jonagold 56 Ct          LB44.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06000Apple Gr Smith 8/5#           LB8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06055Apple Crispin 12/3            EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06060Apple Red Del Bin 180/3#      EA80.00                                     0.00                  10                  0.00                  I0.00                  0.00                  0.00                  
06065Apple Fuji 088                LB42.00                                     0.00                  1                   0.00                  A30.52                 0.00                  0.00                  
06070Apple Ida Red 100 Ct          LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06072Apple Paula Red 120           LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06075Apple Mac 140                 EA40.00                                     0.00                  1                   0.00                  A7.42                  11.50                 0.00                  
06100Apple Cortland 12/3           EA12.00                                     0.00                  1                   0.00                  A11.55                 0.00                  0.00                  
06105Apple Paula Red 12/3          EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06117Apple Cortland 100 Ct         EA40.00                                     0.00                  1                   0.00                  A18.70                 0.00                  0.00                  
06145Apple 24/1 Jelly              EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06150Apple 18/3 Jelly              EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06151Popcorn Caramel Tubs          EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06153Popcorn Carmel W/Nuts 24/9    EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06155Apple 18/3 Caramel            EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06158Apple 18/3 Cinnamon           EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06160Apple 18/3 Candy              EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06165Apple Candy Nut 24/1          EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06170Apple 24/1 Caramel            EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06175Apple 24/1 Candy              EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06210Apple Cider 12-1/2 Gal        EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06215Apple Cider 6/1 Gal           EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06218Apple Cider 25 Pts            EA25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06220Apple Cider Qts 16            EA16.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
06300Pear Anjou West 070           LB44.00                                     0.00                  1                   0.00                  A19.25                 0.00                  0.00                  
